"Áreas de Planejamento, Região de Planejamento e Regiões Administrtivas",Bairros,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Região de Planejamento 3.5 - Penha,XI Penha,  71 533 ,  64 971 ,  72 619 ,  43 979 ,  36 673 ,  40 378 ,  43 707 ,  43 550 ,  47 144 ,  54 983 
Região de Planejamento 3.5 - Penha,XXXI Vigário Geral,...,...,...,  15 889 ,  30 103 ,  28 042 ,  27 714 ,  28 503 ,  34 283 ,  34 148 
Região de Planejamento 3.6 - Pavuna,Região de Planejamento 3.6 - Pavuna,  89 945 ,  93 438 ,  82 300 ,  80 228 ,  78 109 ,  79 339 ,  90 562 ,  82 807 ,  87 736 ,  87 561 
Região de Planejamento 3.6 - Pavuna,XXII Anchieta,  40 150 ,  43 593 ,  39 487 ,  36 690 ,  40 164 ,  39 559 ,  42 197 ,  41 648 ,  45 073 ,  46 086 
Região de Planejamento 3.6 - Pavuna,XXV Pavuna,  49 794 ,  49 845 ,  42 813 ,  43 538 ,  37 946 ,  39 780 ,  48 364 ,  41 159 ,  42 664 ,  41 475 
Região de Planejamento 3.7 - Ilha do Governador,XX Ilha do Governador,  50 350 ,  49 431 ,  44 790 ,  52 155 ,  52 198 ,  50 585 ,  57 705 ,  55 244 ,  56 799 ,  59 837 
Área de Planejamento 4,Área de Planejamento 4,  178 913 ,  181 302 ,  186 519 ,  185 074 ,  209 080 ,  219 041 ,  231 183 ,  234 689 ,  250 169 ,  256 890 
Região de Planejamento 4.1 - Jacarepaguá,Região de Planejamento 4.1 - Jacarepaguá,  124 098 ,  122 922 ,  120 924 ,  122 659 ,  146 860 ,  147 043 ,  153 072 ,  153 791 ,  160 610 ,  172 365 
Região de Planejamento 4.1 - Jacarepaguá,XVI Jacarepaguá,  124 098 ,  115 956 ,  108 138 ,  108 630 ,  131 481 ,  130 447 ,  137 115 ,  139 520 ,  151 828 ,  162 093 
Região de Planejamento 4.1 - Jacarepaguá,XXXIV Cidade de Deus,...,  6 966 ,  12 786 ,  14 029 ,  15 380 ,  16 596 ,  15 957 ,  14 271 ,  8 782 ,  10 272 
Região de Planejamento 4.2 - Barra da Tijuca,XXIV Barra da Tijuca,  54 815 ,  58 380 ,  65 595 ,  62 415 ,  62 219 ,  71 998 ,  78 110 ,  80 898 ,  89 559 ,  84 525 
Área de Planejamento 5,Área de Planejamento 5,  345 071 ,  324 588 ,  330 186 ,  302 907 ,  320 623 ,  339 716 ,  342 992 ,  353 218 ,  374 143 ,  362 436 
Região de Planejamento 5.1 - Bangu,Região de Planejamento 5.1 - Bangu,  167 054 ,  152 072 ,  146 581 ,  123 084 ,  135 217 ,  138 652 ,  131 273 ,  130 280 ,  138 121 ,  139 344 
,XVII Bangu,  100 267 ,  94 521 ,  92 121 ,  76 017 ,  84 753 ,  85 683 ,  81 271 ,  79 846 ,  85 660 ,  86 592 
,XXXIII Realengo,  66 786 ,  57 551 ,  54 460 ,  47 067 ,  50 464 ,  52 969 ,  50 002 ,  50 433 ,  52 461 ,  52 752 
Região de Planejamento 5.2 - Campo Grande,XVIII Campo Grande,  104 212 ,  101 705 ,  107 960 ,  104 625 ,  106 025 ,  116 376 ,  114 722 ,  114 572 ,  122 305 ,  119 861 
Região de Planejamento 5.3 - Santa Cruz,XIX Santa Cruz,  58 452 ,  54 120 ,  56 470 ,  55 094 ,  55 511 ,  57 691 ,  66 875 ,  76 918 ,  80 678 ,  71 868 
Região de Planejamento 5.4 - Guaratiba ,XXVI Guaratiba,  15 354 ,  16 691 ,  19 175 ,  20 104 ,  23 869 ,  26 997 ,  30 121 ,  31 448 ,  33 039 ,  29 941 
Coleta Seletiva ,,...,...,...,...,..., 5 278,7217,..., 6 199, 8 481
